GPU Memory Track | 07-May-24-21:27:47 | Total Tensor Used Memory:16302.9Mb Total Allocated Memory:16414.5Mb

+ | 80 * Size:(1280, 1280, 3, 3)   | Memory: 4500.0 M | <class 'torch.Tensor'> | torch.float32
- | 10 * Size:(160, 77, 64)        | Memory: 15.039 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(160, 1, 2304)       | Memory: 14.062 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(640, 72, 64)        | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float16
- | 2 * Size:(640, 72, 1, 64)     | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(320, 1, 576)        | Memory: 7.0312 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(640, 36, 64)        | Memory: 5.625 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(640, 1, 144)        | Memory: 3.5156 M | <class 'torch.Tensor'> | torch.float32
- | 27 * Size:(32, 1280)           | Memory: 2.1093 M | <class 'torch.Tensor'> | torch.float16
- | 2 * Size:(640, 1, 36)         | Memory: 0.1757 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 1024)           | Memory: 0.125 M | <class 'torch.Tensor'> | torch.float16
- | 1 * Size:(32, 320)            | Memory: 0.0195 M | <class 'torch.Tensor'> | torch.float16
- | 2 * Size:(32, 1)              | Memory: 0.0001 M | <class 'torch.Tensor'> | torch.float16
- | 1 * Size:(32,)                | Memory: 6.1035 M | <class 'torch.Tensor'> | torch.float16
- | 2 * Size:()                   | Memory: 3.8146 M | <class 'torch.Tensor'> | torch.float16

At /home/czh5/multimodal/deepspeed-mvdiffusion/train_mvdiffusion_image_sd21_unclip_ds.py line 882: main Total Tensor Used Memory:16488.3Mb Total Allocated Memory:16611.6Mb

+ | 20 * Size:(32, 2304, 1280)     | Memory: 3600.0 M | <class 'torch.Tensor'> | torch.float16
+ | 45 * Size:(32, 2304, 320)      | Memory: 2025.0 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(32, 576, 2560)      | Memory: 1800.0 M | <class 'torch.Tensor'> | torch.float16
+ | 30 * Size:(160, 2304, 1, 64)   | Memory: 1350.0 M | <class 'torch.Tensor'> | torch.float16
+ | 30 * Size:(32, 320, 48, 48)    | Memory: 1350.0 M | <class 'torch.Tensor'> | torch.float16
+ | 45 * Size:(32, 576, 640)       | Memory: 1012.5 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(32, 144, 5120)      | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 4608, 64)      | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 4608, 1, 64)   | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float16
+ | 30 * Size:(320, 576, 1, 64)    | Memory: 675.0 M | <class 'torch.Tensor'> | torch.float16
+ | 7 * Size:(32, 640, 48, 48)    | Memory: 630.0 M | <class 'torch.Tensor'> | torch.float16
+ | 24 * Size:(32, 640, 24, 24)    | Memory: 540.0 M | <class 'torch.Tensor'> | torch.float16
+ | 45 * Size:(32, 144, 1280)      | Memory: 506.25 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 1152, 1, 64)   | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 1152, 64)      | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 2304, 64)      | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(32, 960, 48, 48)    | Memory: 405.0 M | <class 'torch.Tensor'> | torch.float16
+ | 30 * Size:(640, 144, 1, 64)    | Memory: 337.5 M | <class 'torch.Tensor'> | torch.float16
+ | 25 * Size:(32, 1280, 12, 12)   | Memory: 281.25 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(640, 288, 64)       | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 576, 64)       | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(640, 288, 1, 64)    | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(32, 1920, 24, 24)   | Memory: 202.5 M | <class 'torch.Tensor'> | torch.float16
+ | 4 * Size:(32, 1280, 24, 24)   | Memory: 180.0 M | <class 'torch.Tensor'> | torch.float16
+ | 6 * Size:(32, 2560, 12, 12)   | Memory: 135.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(640, 144, 64)       | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(32, 960, 24, 24)    | Memory: 101.25 M | <class 'torch.Tensor'> | torch.float16
+ | 34 * Size:(32, 1280, 6, 6)     | Memory: 95.625 M | <class 'torch.Tensor'> | torch.float16
+ | 12 * Size:(640, 77, 64)        | Memory: 72.187 M | <class 'torch.Tensor'> | torch.float16
+ | 12 * Size:(640, 77, 1, 64)     | Memory: 72.187 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(32, 1920, 12, 12)   | Memory: 50.625 M | <class 'torch.Tensor'> | torch.float16
+ | 9 * Size:(32, 2560, 6, 6)     | Memory: 50.625 M | <class 'torch.Tensor'> | torch.float16
+ | 4 * Size:(32, 36, 5120)       | Memory: 45.0 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(32, 320, 24, 24)    | Memory: 33.75 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 77, 64)        | Memory: 30.078 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 77, 1, 64)     | Memory: 30.078 M | <class 'torch.Tensor'> | torch.float16
+ | 9 * Size:(32, 36, 1280)       | Memory: 25.312 M | <class 'torch.Tensor'> | torch.float16
+ | 6 * Size:(640, 36, 1, 64)     | Memory: 16.875 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(32, 640, 12, 12)    | Memory: 16.875 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 77, 1, 64)     | Memory: 15.039 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 77, 64)        | Memory: 15.039 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 1, 2304)       | Memory: 14.062 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(640, 72, 64)        | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(640, 72, 1, 64)     | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 1, 576)        | Memory: 7.0312 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(640, 36, 64)        | Memory: 5.625 M | <class 'torch.Tensor'> | torch.float16
+ | 7 * Size:(32, 4, 48, 48)      | Memory: 3.9375 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(640, 1, 144)        | Memory: 3.5156 M | <class 'torch.Tensor'> | torch.float32
+ | 27 * Size:(32, 1280)           | Memory: 2.1093 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(640, 1, 36)         | Memory: 0.1757 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 1024)           | Memory: 0.125 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(32, 320)            | Memory: 0.0195 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(32, 1)              | Memory: 0.0001 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(32,)                | Memory: 6.1035 M | <class 'torch.Tensor'> | torch.float16
- | 6 * Size:(32, 4, 48, 48)      | Memory: 3.375 M | <class 'torch.Tensor'> | torch.float16
- | 1 * Size:(32, 1)              | Memory: 6.1035 M | <class 'torch.Tensor'> | torch.float16

At /home/czh5/multimodal/deepspeed-mvdiffusion/train_mvdiffusion_image_sd21_unclip_ds.py line 834: main Total Tensor Used Memory:37082.1Mb Total Allocated Memory:34363.1Mb

+ | 1 * Size:(32, 1)              | Memory: 6.1035 M | <class 'torch.Tensor'> | torch.float16
+ | 4 * Size:()                   | Memory: 7.6293 M | <class 'torch.Tensor'> | torch.float16
- | 20 * Size:(32, 2304, 1280)     | Memory: 3600.0 M | <class 'torch.Tensor'> | torch.float16
- | 45 * Size:(32, 2304, 320)      | Memory: 2025.0 M | <class 'torch.Tensor'> | torch.float16
- | 20 * Size:(32, 576, 2560)      | Memory: 1800.0 M | <class 'torch.Tensor'> | torch.float16
- | 30 * Size:(160, 2304, 1, 64)   | Memory: 1350.0 M | <class 'torch.Tensor'> | torch.float16
- | 30 * Size:(32, 320, 48, 48)    | Memory: 1350.0 M | <class 'torch.Tensor'> | torch.float16
- | 45 * Size:(32, 576, 640)       | Memory: 1012.5 M | <class 'torch.Tensor'> | torch.float16
- | 20 * Size:(32, 144, 5120)      | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(160, 4608, 64)      | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(160, 4608, 1, 64)   | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float16
- | 30 * Size:(320, 576, 1, 64)    | Memory: 675.0 M | <class 'torch.Tensor'> | torch.float16
- | 7 * Size:(32, 640, 48, 48)    | Memory: 630.0 M | <class 'torch.Tensor'> | torch.float16
- | 24 * Size:(32, 640, 24, 24)    | Memory: 540.0 M | <class 'torch.Tensor'> | torch.float16
- | 45 * Size:(32, 144, 1280)      | Memory: 506.25 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(320, 1152, 1, 64)   | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(320, 1152, 64)      | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(160, 2304, 64)      | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
- | 3 * Size:(32, 960, 48, 48)    | Memory: 405.0 M | <class 'torch.Tensor'> | torch.float16
- | 30 * Size:(640, 144, 1, 64)    | Memory: 337.5 M | <class 'torch.Tensor'> | torch.float16
- | 25 * Size:(32, 1280, 12, 12)   | Memory: 281.25 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(640, 288, 64)       | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(320, 576, 64)       | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(640, 288, 1, 64)    | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
- | 3 * Size:(32, 1920, 24, 24)   | Memory: 202.5 M | <class 'torch.Tensor'> | torch.float16
- | 4 * Size:(32, 1280, 24, 24)   | Memory: 180.0 M | <class 'torch.Tensor'> | torch.float16
- | 6 * Size:(32, 2560, 12, 12)   | Memory: 135.0 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(640, 144, 64)       | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float16
- | 3 * Size:(32, 960, 24, 24)    | Memory: 101.25 M | <class 'torch.Tensor'> | torch.float16
- | 34 * Size:(32, 1280, 6, 6)     | Memory: 95.625 M | <class 'torch.Tensor'> | torch.float16
- | 12 * Size:(640, 77, 64)        | Memory: 72.187 M | <class 'torch.Tensor'> | torch.float16
- | 12 * Size:(640, 77, 1, 64)     | Memory: 72.187 M | <class 'torch.Tensor'> | torch.float16
- | 3 * Size:(32, 1920, 12, 12)   | Memory: 50.625 M | <class 'torch.Tensor'> | torch.float16
- | 9 * Size:(32, 2560, 6, 6)     | Memory: 50.625 M | <class 'torch.Tensor'> | torch.float16
- | 4 * Size:(32, 36, 5120)       | Memory: 45.0 M | <class 'torch.Tensor'> | torch.float16
- | 3 * Size:(32, 320, 24, 24)    | Memory: 33.75 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(320, 77, 64)        | Memory: 30.078 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(320, 77, 1, 64)     | Memory: 30.078 M | <class 'torch.Tensor'> | torch.float16
- | 9 * Size:(32, 36, 1280)       | Memory: 25.312 M | <class 'torch.Tensor'> | torch.float16
- | 6 * Size:(640, 36, 1, 64)     | Memory: 16.875 M | <class 'torch.Tensor'> | torch.float16
- | 3 * Size:(32, 640, 12, 12)    | Memory: 16.875 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(160, 77, 1, 64)     | Memory: 15.039 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(160, 77, 64)        | Memory: 15.039 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(160, 1, 2304)       | Memory: 14.062 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(640, 72, 64)        | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float16
- | 2 * Size:(640, 72, 1, 64)     | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(320, 1, 576)        | Memory: 7.0312 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(640, 36, 64)        | Memory: 5.625 M | <class 'torch.Tensor'> | torch.float16
- | 10 * Size:(640, 1, 144)        | Memory: 3.5156 M | <class 'torch.Tensor'> | torch.float32
- | 27 * Size:(32, 1280)           | Memory: 2.1093 M | <class 'torch.Tensor'> | torch.float16
- | 2 * Size:(640, 1, 36)         | Memory: 0.1757 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 1024)           | Memory: 0.125 M | <class 'torch.Tensor'> | torch.float16
- | 1 * Size:(32, 320)            | Memory: 0.0195 M | <class 'torch.Tensor'> | torch.float16
- | 2 * Size:(32, 1)              | Memory: 0.0001 M | <class 'torch.Tensor'> | torch.float16
- | 1 * Size:(32,)                | Memory: 6.1035 M | <class 'torch.Tensor'> | torch.float16
- | 3 * Size:()                   | Memory: 5.7220 M | <class 'torch.Tensor'> | torch.float16

At /home/czh5/multimodal/deepspeed-mvdiffusion/train_mvdiffusion_image_sd21_unclip_ds.py line 882: main Total Tensor Used Memory:16488.9Mb Total Allocated Memory:16612.1Mb

